,Car,Date,Grand Prix,Laps,Time,Winner
0,Alfa Romeo,13 May 1950,Great Britain,70,2:13:23.600,NinoFarina
1,Alfa Romeo,21 May 1950,Monaco,100,3:13:18.700,Juan ManuelFangio
2,Kurtis Kraft Offenhauser,30 May 1950,Indianapolis 500,138,2:46:55.970,Johnnie Parsons
3,Alfa Romeo,04 Jun 1950,Switzerland,42,2:02:53.700,NinoFarina
4,Alfa Romeo,18 Jun 1950,Belgium,35,2:47:26.000,Juan ManuelFangio
5,Alfa Romeo,02 Jul 1950,France,64,2:57:52.800,Juan ManuelFangio
6,Alfa Romeo,03 Sep 1950,Italy,80,2:51:17.400,NinoFarina
7,Alfa Romeo,27 May 1951,Switzerland,42,2:07:53.640,Juan ManuelFangio
8,Kurtis Kraft Offenhauser,30 May 1951,Indianapolis 500,200,3:57:38.050,LeeWallard
9,Alfa Romeo,17 Jun 1951,Belgium,36,2:45:46.200,NinoFarina
10,Alfa Romeo,01 Jul 1951,France,77,3:22:11.000,Juan ManuelFangio
11,Alfa Romeo,01 Jul 1951,France,null,,LuigiFagioli
12,Ferrari,14 Jul 1951,Great Britain,90,2:42:18.200,Jose FroilanGonzalez
13,Ferrari,29 Jul 1951,Germany,20,3:23:03.300,AlbertoAscari
14,Ferrari,16 Sep 1951,Italy,80,2:42:39.300,AlbertoAscari
15,Alfa Romeo,28 Oct 1951,Spain,70,2:46:54.100,Juan ManuelFangio
16,Ferrari,18 May 1952,Switzerland,62,3:01:46.100,Piero Taruffi
17,Kuzma Offenhauser,30 May 1952,Indianapolis 500,200,3:52:41.880,TroyRuttman
18,Ferrari,22 Jun 1952,Belgium,36,3:03:46.300,AlbertoAscari
19,Ferrari,06 Jul 1952,France,77,3:00:00.000,AlbertoAscari
20,Ferrari,19 Jul 1952,Great Britain,85,2:44:11.000,AlbertoAscari
21,Ferrari,03 Aug 1952,Germany,18,3:06:13.300,AlbertoAscari
22,Ferrari,17 Aug 1952,Netherlands,90,2:53:28.500,AlbertoAscari
23,Ferrari,07 Sep 1952,Italy,80,2:50:45.600,AlbertoAscari
24,Ferrari,18 Jan 1953,Argentina,97,3:01:04.600,AlbertoAscari
25,Kurtis Kraft Offenhauser,30 May 1953,Indianapolis 500,200,3:53:01.690,Bill Vukovich
26,Ferrari,07 Jun 1953,Netherlands,90,2:53:35.800,AlbertoAscari
27,Ferrari,21 Jun 1953,Belgium,36,2:48:30.300,AlbertoAscari
28,Ferrari,05 Jul 1953,France,60,2:44:18.600,MikeHawthorn
29,Ferrari,18 Jul 1953,Great Britain,90,2:50:00.000,AlbertoAscari
30,Ferrari,02 Aug 1953,Germany,18,3:02:25.000,NinoFarina
31,Ferrari,23 Aug 1953,Switzerland,65,3:01:34.400,AlbertoAscari
32,Maserati,13 Sep 1953,Italy,80,2:49:45.900,Juan ManuelFangio
33,Maserati,17 Jan 1954,Argentina,87,3:00:55.800,Juan ManuelFangio
34,Kurtis Kraft Offenhauser,31 May 1954,Indianapolis 500,200,3:49:17.270,Bill Vukovich
35,Maserati,20 Jun 1954,Belgium,36,2:44:42.400,Juan ManuelFangio
36,Mercedes-Benz,04 Jul 1954,France,61,2:42:47.900,Juan ManuelFangio
37,Ferrari,17 Jul 1954,Great Britain,90,2:56:14.000,Jose FroilanGonzalez
38,Mercedes-Benz,01 Aug 1954,Germany,22,3:45:45.800,Juan ManuelFangio
39,Mercedes-Benz,22 Aug 1954,Switzerland,66,3:00:34.500,Juan ManuelFangio
40,Mercedes-Benz,05 Sep 1954,Italy,80,2:47:47.900,Juan ManuelFangio
41,Ferrari,24 Oct 1954,Spain,80,3:13:52.100,MikeHawthorn
42,Mercedes-Benz,16 Jan 1955,Argentina,96,3:00:38.600,Juan ManuelFangio
43,Ferrari,22 May 1955,Monaco,100,2:58:09.700,Maurice Trintignant
44,Kurtis Kraft Offenhauser,30 May 1955,Indianapolis 500,200,3:53:59.530,BobSweikert
45,Mercedes-Benz,05 Jun 1955,Belgium,36,2:39:29.000,Juan ManuelFangio
46,Mercedes-Benz,19 Jun 1955,Netherlands,100,2:54:23.800,Juan ManuelFangio
47,Mercedes-Benz,16 Jul 1955,Great Britain,90,3:07:21.200,StirlingMoss
48,Mercedes-Benz,11 Sep 1955,Italy,50,2:25:04.400,Juan ManuelFangio
49,Ferrari,22 Jan 1956,Argentina,null,,LuigiMusso
50,Ferrari,22 Jan 1956,Argentina,98,3:00:03.700,Juan ManuelFangio
51,Maserati,13 May 1956,Monaco,100,3:00:32.900,StirlingMoss
52,Watson Offenhauser,30 May 1956,Indianapolis 500,200,3:53:28.840,PatFlaherty
53,Ferrari,03 Jun 1956,Belgium,36,2:40:00.300,PeterCollins
54,Ferrari,01 Jul 1956,France,61,2:34:23.400,PeterCollins
55,Ferrari,14 Jul 1956,Great Britain,101,2:59:47.000,Juan ManuelFangio
56,Ferrari,05 Aug 1956,Germany,22,3:38:43.700,Juan ManuelFangio
57,Maserati,02 Sep 1956,Italy,50,2:23:41.300,StirlingMoss
58,Maserati,13 Jan 1957,Argentina,100,3:00:55.900,Juan ManuelFangio
59,Maserati,19 May 1957,Monaco,105,3:10:12.800,Juan ManuelFangio
60,Epperly Offenhauser,30 May 1957,Indianapolis 500,200,3:41:14.250,SamHanks
61,Maserati,07 Jul 1957,France,77,3:07:46.400,Juan ManuelFangio
62,Vanwall,20 Jul 1957,Great Britain,90,3:06:37.800,StirlingMoss
63,Vanwall,20 Jul 1957,Great Britain,null,,TonyBrooks
64,Maserati,04 Aug 1957,Germany,22,3:30:38.300,Juan ManuelFangio
65,Vanwall,18 Aug 1957,Pescara,18,2:59:22.700,StirlingMoss
66,Vanwall,08 Sep 1957,Italy,87,2:35:03.900,StirlingMoss
67,Cooper Climax,19 Jan 1958,Argentina,80,2:19:33.700,StirlingMoss
68,Cooper Climax,18 May 1958,Monaco,100,2:52:27.900,Maurice Trintignant
69,Vanwall,26 May 1958,Netherlands,75,2:04:49.200,StirlingMoss
70,Epperly Offenhauser,30 May 1958,Indianapolis 500,200,3:44:13.800,JimmyBryan
71,Vanwall,15 Jun 1958,Belgium,24,1:37:06.300,TonyBrooks
72,Ferrari,06 Jul 1958,France,50,2:03:21.300,MikeHawthorn
73,Ferrari,19 Jul 1958,Great Britain,75,2:09:04.200,PeterCollins
74,Vanwall,03 Aug 1958,Germany,15,2:21:15.000,TonyBrooks
75,Vanwall,24 Aug 1958,Portugal,50,2:11:27.800,StirlingMoss
76,Vanwall,07 Sep 1958,Italy,70,2:03:47.800,TonyBrooks
77,Vanwall,19 Oct 1958,Morocco,53,2:09:15.100,StirlingMoss
78,Cooper Climax,10 May 1959,Monaco,100,2:55:51.300,JackBrabham
79,Watson Offenhauser,30 May 1959,Indianapolis 500,200,3:40:49.200,RodgerWard
80,BRM,31 May 1959,Netherlands,75,2:05:26.800,JoBonnier
81,Ferrari,05 Jul 1959,France,50,2:01:26.500,TonyBrooks
82,Cooper Climax,18 Jul 1959,Great Britain,75,2:30:11.600,JackBrabham
83,Ferrari,02 Aug 1959,Germany,60,2:09:31.600,TonyBrooks
84,Cooper Climax,23 Aug 1959,Portugal,62,2:11:55.410,StirlingMoss
85,Cooper Climax,13 Sep 1959,Italy,72,2:04:05.400,StirlingMoss
86,Cooper Climax,12 Dec 1959,United States,42,2:12:35.700,BruceMcLaren
87,Cooper Climax,07 Feb 1960,Argentina,80,2:17:49.500,BruceMcLaren
88,Lotus Climax,29 May 1960,Monaco,100,2:53:45.500,StirlingMoss
89,Watson Offenhauser,30 May 1960,Indianapolis 500,200,3:36:11.360,JimRathmann
90,Cooper Climax,06 Jun 1960,Netherlands,75,2:01:47.200,JackBrabham
91,Cooper Climax,19 Jun 1960,Belgium,36,2:21:37.300,JackBrabham
92,Cooper Climax,03 Jul 1960,France,50,1:57:24.900,JackBrabham
93,Cooper Climax,16 Jul 1960,Great Britain,77,2:04:24.600,JackBrabham
94,Cooper Climax,14 Aug 1960,Portugal,55,2:19:00.030,JackBrabham
95,Ferrari,04 Sep 1960,Italy,50,2:21:09.200,PhilHill
96,Lotus Climax,20 Nov 1960,United States,75,2:28:52.200,StirlingMoss
97,Lotus Climax,14 May 1961,Monaco,100,2:45:50.100,StirlingMoss
98,Ferrari,22 May 1961,Netherlands,75,2:01:52.100,Wolfgangvon Trips
99,Ferrari,18 Jun 1961,Belgium,30,2:03:03.800,PhilHill
100,Ferrari,02 Jul 1961,France,52,2:14:17.500,GiancarloBaghetti
101,Ferrari,15 Jul 1961,Great Britain,75,2:40:53.600,Wolfgangvon Trips
102,Lotus Climax,06 Aug 1961,Germany,15,2:18:12.400,StirlingMoss
103,Ferrari,10 Sep 1961,Italy,43,2:03:13.000,PhilHill
104,Lotus Climax,08 Oct 1961,United States,100,2:13:45.800,InnesIreland
105,BRM,20 May 1962,Netherlands,80,2:11:02.100,GrahamHill
106,Cooper Climax,03 Jun 1962,Monaco,100,2:46:29.700,BruceMcLaren
107,Lotus Climax,17 Jun 1962,Belgium,32,2:07:32.300,JimClark
108,Porsche,08 Jul 1962,France,54,2:07:35.500,DanGurney
109,Lotus Climax,21 Jul 1962,Great Britain,75,2:26:20.800,JimClark
110,BRM,05 Aug 1962,Germany,15,2:38:45.300,GrahamHill
111,BRM,16 Sep 1962,Italy,86,2:29:08.400,GrahamHill
112,Lotus Climax,07 Oct 1962,United States,100,2:07:13.000,JimClark
113,BRM,29 Dec 1962,South Africa,82,2:08:03.300,GrahamHill
114,BRM,26 May 1963,Monaco,100,2:41:49.700,GrahamHill
115,Lotus Climax,09 Jun 1963,Belgium,32,2:27:47.600,JimClark
116,Lotus Climax,23 Jun 1963,Netherlands,80,2:08:13.700,JimClark
117,Lotus Climax,30 Jun 1963,France,53,2:10:54.300,JimClark
118,Lotus Climax,20 Jul 1963,Great Britain,82,2:14:09.600,JimClark
119,Ferrari,04 Aug 1963,Germany,15,2:13:06.800,JohnSurtees
120,Lotus Climax,08 Sep 1963,Italy,86,2:24:19.600,JimClark
121,BRM,06 Oct 1963,United States,110,2:19:22.100,GrahamHill
122,Lotus Climax,27 Oct 1963,Mexico,65,2:09:52.100,JimClark
123,Lotus Climax,28 Dec 1963,South Africa,85,2:10:36.900,JimClark
124,BRM,10 May 1964,Monaco,100,2:41:19.500,GrahamHill
125,Lotus Climax,24 May 1964,Netherlands,80,2:07:35.400,JimClark
126,Lotus Climax,14 Jun 1964,Belgium,32,2:06:40.500,JimClark
127,Brabham Climax,28 Jun 1964,France,57,2:07:49.100,DanGurney
128,Lotus Climax,11 Jul 1964,Great Britain,80,2:15:07.000,JimClark
